Prompt,Response
Is Roanoke VA closer to Jackson MI or Leesburg VA?,"Leesburg, VA"
Is Rowlett TX closer to Lodi CA or Joplin MO?,"Joplin, MO"
Is Longview WA closer to Evansville IN or Poughkeepsie NY?,"Poughkeepsie, NY"
Is Beckley WV closer to Johnson City TN or Tustin CA?,"Johnson City, TN"
Is Fort Lauderdale FL closer to Wichita KS or Knoxville TN?,"Wichita, KS"
Is Southfield MI closer to Gardena CA or Richmond CA?,"Gardena, CA"
Is Casa Grande AZ closer to Alexandria LA or St. Cloud FL?,"Alexandria, LA"
Is Mount Vernon NY closer to Alafaya FL or Pasadena CA?,"Alafaya, FL"
Is Williamsburg VA closer to Lake Jackson TX or Beaumont TX?,"Lake Jackson, TX"
Is Harrisonburg VA closer to Shreveport LA or Coconut Creek FL?,"Shreveport, LA"
Is Chino CA closer to Lorain OH or Lakewood WA?,"Lorain, OH"
Is Springfield MA closer to Beaverton OR or Bryan TX?,"Beaverton, OR"
Is White Plains NY closer to Monroe LA or South Bend IN?,"Monroe, LA"
Is Clearwater FL closer to Colorado Springs CO or Lafayette LA?,"Lafayette, LA"
Is Asheville NC closer to Vallejo CA or Logan UT?,"Logan, UT"
Is San Antonio TX closer to Brandon FL or Dearborn MI?,"Brandon, FL"
Is Cleveland TN closer to Hot Springs AR or Union City CA?,"Hot Springs, AR"
Is Levittown PA closer to Southaven MS or Evansville IN?,"Southaven, MS"
Is San Tan Valley AZ closer to Ogden UT or Trenton NJ?,"Ogden, UT"
Is Anderson IN closer to Schaumburg IL or West Bend WI?,"Schaumburg, IL"
Is Bellflower CA closer to Cambridge MA or San Leandro CA?,"Cambridge, MA"
Is Jacksonville FL closer to Castro Valley CA or Mission Viejo CA?,"Castro Valley, CA"
Is Cicero IL closer to Dalton GA or Augusta GA?,"Dalton, GA"
Is Grand Rapids MI closer to Duluth MN or Asheville NC?,"Duluth, MN"
Is Pensacola FL closer to Guaynabo PR or Frederick MD?,"Guaynabo, PR"
Is Berkeley CA closer to Beaumont TX or Coeur d'Alene ID?,"Beaumont, TX"
Is Lorain OH closer to Milford CT or Rockville MD?,"Milford, CT"
Is Highland CA closer to Charleston SC or Bellevue NE?,"Charleston, SC"
Is Winchester VA closer to Beaverton OR or Warren MI?,"Beaverton, OR"
Is Yuba City CA closer to Norman OK or Syracuse NY?,"Syracuse, NY"
Is Kingston NY closer to Poinciana FL or Mesquite TX?,"Poinciana, FL"
Is Westminster CA closer to Blaine MN or Myrtle Beach SC?,"Blaine, MN"
Is Johns Creek GA closer to Louisville KY or St. Clair Shores MI?,"Louisville, KY"
Is Woodbury MN closer to Delray Beach FL or Edina MN?,"Edina, MN"
Is West Sacramento CA closer to Watsonville CA or Quincy MA?,"Watsonville, CA"
Is Abilene TX closer to Vancouver WA or Norman OK?,"Vancouver, WA"
Is Arvada CO closer to Napa CA or Atlantic City NJ?,"Napa, CA"
Is Alexandria VA closer to Casa Grande AZ or Johns Creek GA?,"Casa Grande, AZ"
Is Wilmington NC closer to Buena Park CA or Kingsport TN?,"Buena Park, CA"
Is Paradise NV closer to Tracy CA or San Juan PR?,"Tracy, CA"
Is Lafayette IN closer to Redwood City CA or Fullerton CA?,"Redwood City, CA"
Is Layton UT closer to Chino CA or Reston VA?,"Chino, CA"
Is Yuba City CA closer to Huntersville NC or Milford CT?,"Huntersville, NC"
Is Concord CA closer to San Marcos TX or Bolingbrook IL?,"San Marcos, TX"
Is Ankeny IA closer to Rowland Heights CA or St. Charles MO?,"Rowland Heights, CA"
Is Rochester Hills MI closer to Palm Coast FL or Wheaton IL?,"Palm Coast, FL"
Is Clifton NJ closer to Garden Grove CA or Holland MI?,"Garden Grove, CA"
Is National City CA closer to Lima OH or Morgantown WV?,"Lima, OH"
Is Bethesda MD closer to McKinney TX or Columbus IN?,"McKinney, TX"
Is Salinas CA closer to Pittsburg CA or Santa Cruz CA?,"Salinas, CA"
Is Conroe TX closer to St. Paul MN or Ithaca NY?,"St. Paul, MN"
Is Gainesville GA closer to Lincoln NE or Weston FL?,"Lincoln, NE"
Is Odessa TX closer to Schenectady NY or Pasadena TX?,"Schenectady, NY"
Is Glens Falls NY closer to Escondido CA or Yakima WA?,"Escondido, CA"
Is Lewiston ID closer to Newark NJ or Temple TX?,"Newark, NJ"
Is Goldsboro NC closer to Greeley CO or Anderson IN?,"Greeley, CO"
Is Bay City MI closer to Pasco WA or Hattiesburg MS?,"Pasco, WA"
Is San Angelo TX closer to Cathedral City CA or Tigard OR?,"Cathedral City, CA"
Is Albany GA closer to Waukegan IL or Lewiston ME?,"Waukegan, IL"
Is Lawrence KS closer to Pleasanton CA or Wheaton IL?,"Pleasanton, CA"
Is Kendall FL closer to Chino CA or Citrus Heights CA?,"Chino, CA"
Is Bridgeport CT closer to Altoona PA or West Haven CT?,"Altoona, PA"
Is New Brunswick NJ closer to Racine WI or Provo UT?,"Racine, WI"
Is Melbourne FL closer to Vineland NJ or Fredericksburg VA?,"Vineland, NJ"
Is Milwaukee WI closer to Iowa City IA or Sumter SC?,"Iowa City, IA"
Is Alexandria LA closer to Parker CO or South Gate CA?,"Parker, CO"
Is Santa Ana CA closer to Columbus OH or Charlottesville VA?,"Columbus, OH"
Is San Marcos CA closer to Meridian ID or Mission Viejo CA?,"Meridian, ID"
Is Indianapolis IN closer to Summerville SC or Johnstown PA?,"Summerville, SC"
Is Hillsboro OR closer to Brooklyn NY or Hanover PA?,"Brooklyn, NY"
Is Johnstown PA closer to Westland MI or Gilbert AZ?,"Westland, MI"
Is Port St. Lucie FL closer to Wilmington NC or Weston FL?,"Wilmington, NC"
Is Sierra Vista AZ closer to Durham NC or Tucson AZ?,"Durham, NC"
Is Atlanta GA closer to Hartford CT or Bronx NY?,"Hartford, CT"
Is Baton Rouge LA closer to New Brunswick NJ or Aurora IL?,"New Brunswick, NJ"
Is Newport Beach CA closer to Elizabethtown KY or Corona CA?,"Elizabethtown, KY"
Is Glendora CA closer to Elkhart IN or Hesperia CA?,"Elkhart, IN"
Is Tigard OR closer to Encinitas CA or Missoula MT?,"Encinitas, CA"
Is Wheaton MD closer to Beaufort SC or Jurupa Valley CA?,"Beaufort, SC"
Is Nampa ID closer to Tampa FL or Charlotte NC?,"Tampa, FL"
Is Lake Elsinore CA closer to The Hammocks FL or El Monte CA?,"The Hammocks, FL"
Is Pinellas Park FL closer to Lakewood CO or Tinley Park IL?,"Lakewood, CO"
Is Livermore CA closer to Whittier CA or Elkhart IN?,"Whittier, CA"
Is Murfreesboro TN closer to Albany GA or Kenosha WI?,"Albany, GA"
Is Gaithersburg MD closer to Terre Haute IN or Anaheim CA?,"Terre Haute, IN"
Is Cartersville GA closer to Jacksonville NC or Quincy MA?,"Jacksonville, NC"
Is Ellicott City MD closer to Glendora CA or Arden-Arcade CA?,"Glendora, CA"
Is Billings MT closer to Kansas City KS or Lowell MA?,"Kansas City, KS"
Is Frederick MD closer to Naperville IL or Union City NJ?,"Naperville, IL"
Is High Point NC closer to Beaverton OR or Cheyenne WY?,"Beaverton, OR"
Is Bangor ME closer to Irving TX or Costa Mesa CA?,"Irving, TX"
Is Spartanburg SC closer to Tucson AZ or Poinciana FL?,"Tucson, AZ"
Is Hoboken NJ closer to Kentwood MI or South Fulton GA?,"Kentwood, MI"
Is Long Beach CA closer to Bloomington MN or Corpus Christi TX?,"Bloomington, MN"
Is Alameda CA closer to Simi Valley CA or Madison WI?,"Simi Valley, CA"
Is Coconut Creek FL closer to Eagle Pass TX or Skokie IL?,"Skokie, IL"
Is Visalia CA closer to Westland MI or San Mateo CA?,"San Mateo, CA"
Is Visalia CA closer to Great Falls MT or Glendora CA?,"Glendora, CA"
Is Kennewick WA closer to Garden Grove CA or Napa CA?,"Garden Grove, CA"
Is Columbia MD closer to Titusville FL or Thousand Oaks CA?,"Titusville, FL"
Is Clovis CA closer to Temple TX or Longview TX?,"Temple, TX"
Is Hickory NC closer to Lee's Summit MO or Raleigh NC?,"Raleigh, NC"
Is Largo FL closer to Manteca CA or Greeley CO?,"Greeley, CO"
Is Newark NJ closer to Titusville FL or Hilton Head Island SC?,"Titusville, FL"
Is La Crosse WI closer to Sandy Springs GA or Battle Creek MI?,"Sandy Springs, GA"
Is Baldwin Park CA closer to Flagstaff AZ or Battle Creek MI?,"Flagstaff, AZ"
Is Lafayette IN closer to Fishers IN or Titusville FL?,"Fishers, IN"
Is Hanford CA closer to Janesville WI or Daytona Beach FL?,"Daytona Beach, FL"
Is Alhambra CA closer to Carmel IN or Bismarck ND?,"Carmel, IN"
Is Rome GA closer to Pasadena CA or Aloha OR?,"Pasadena, CA"
Is The Hammocks FL closer to Pine Hills FL or Grand Island NE?,"Pine Hills, FL"
Is Sheboygan WI closer to San Marcos CA or Akron OH?,"Akron, OH"
Is Norwich CT closer to Lexington KY or Caguas PR?,"Lexington, KY"
Is Gastonia NC closer to North Little Rock AR or Dale City VA?,"North Little Rock, AR"
Is Bowling Green KY closer to Lake Elsinore CA or South Jordan UT?,"Lake Elsinore, CA"
Is Lincoln NE closer to Bangor ME or Brooklyn NY?,"Brooklyn, NY"
Is Elgin IL closer to Knoxville TN or Kentwood MI?,"Kentwood, MI"
Is Ankeny IA closer to Dublin CA or Rancho Cucamonga CA?,"Dublin, CA"
Is Chesapeake VA closer to Springfield IL or Lake Jackson TX?,"Lake Jackson, TX"
Is Lompoc CA closer to Pittsburg CA or Kettering OH?,"Pittsburg, CA"
Is Peoria IL closer to Tulare CA or South Fulton GA?,"Tulare, CA"
Is Boca Raton FL closer to Encinitas CA or Denver CO?,"Encinitas, CA"
Is Casas Adobes AZ closer to Honolulu HI or Colton CA?,"Colton, CA"
Is Somerville MA closer to St. Paul MN or York PA?,"St. Paul, MN"
Is Lehigh Acres FL closer to Omaha NE or San Mateo CA?,"Omaha, NE"
Is San Rafael CA closer to Methuen Town MA or Waldorf MD?,"Waldorf, MD"
Is Meriden CT closer to Mission Viejo CA or Rogers AR?,"Mission Viejo, CA"
Is Castro Valley CA closer to Rialto CA or Elizabethtown KY?,"Rialto, CA"
Is Mount Vernon WA closer to Huntington Beach CA or Mishawaka IN?,"Mishawaka, IN"
Is Germantown MD closer to Columbia SC or Wichita Falls TX?,"Columbia, SC"
Is Dublin CA closer to Bakersfield CA or Bend OR?,"Bakersfield, CA"
Is Monroe LA closer to Rowlett TX or Bullhead City AZ?,"Rowlett, TX"
Is Peoria IL closer to Monessen PA or Jacksonville NC?,"Monessen, PA"
Is Deerfield Beach FL closer to Dover NH or Cleveland TN?,"Dover, NH"
Is Pleasanton CA closer to Houston TX or Apopka FL?,"Houston, TX"
Is Newport Beach CA closer to Lake Charles LA or Mountain View CA?,"Lake Charles, LA"
Is New Rochelle NY closer to Eden Prairie MN or Johns Creek GA?,"Eden Prairie, MN"
Is Dalton GA closer to Spartanburg SC or Honolulu HI?,"Spartanburg, SC"
Is Pasco WA closer to Watsonville CA or Wenatchee WA?,"Watsonville, CA"
Is Bartlett TN closer to Decatur AL or Metairie LA?,"Decatur, AL"
Is Framingham MA closer to Rio Rancho NM or Lauderhill FL?,"Rio Rancho, NM"
Is Lubbock TX closer to Flower Mound TX or Malden MA?,"Flower Mound, TX"
Is Mission Viejo CA closer to Diamond Bar CA or Peoria AZ?,"Diamond Bar, CA"
Is Mandeville LA closer to Santa Ana CA or Pasco WA?,"Santa Ana, CA"
Is Springfield MA closer to Lexington KY or Albuquerque NM?,"Lexington, KY"
Is Spring Valley NV closer to Pasadena TX or Forney TX?,"Pasadena, TX"
Is Gilbert AZ closer to Tracy CA or Idaho Falls ID?,"Tracy, CA"
Is Germantown MD closer to Wilmington DE or Pasadena TX?,"Wilmington, DE"
Is Charlottesville VA closer to Woodland CA or Moore OK?,"Woodland, CA"
Is Alhambra CA closer to Provo UT or DeSoto TX?,"Provo, UT"
Is Hialeah FL closer to Wheaton MD or Pinellas Park FL?,"Wheaton, MD"
Is Port Charlotte FL closer to Broomfield CO or Metairie LA?,"Broomfield, CO"
Is Fond du Lac WI closer to Ocala FL or Margate FL?,"Ocala, FL"
Is Round Rock TX closer to Newark NJ or Austin TX?,"Austin, TX"
Is Bentonville AR closer to Jonesboro AR or Elgin IL?,"Jonesboro, AR"
Is Torrance CA closer to Winchester VA or Jersey City NJ?,"Huntington Beach, CA"
Is Oklahoma City OK closer to Jefferson City MO or Boulder CO?,"Jefferson City, MO"
Is Rio Rancho NM closer to Davie FL or Parker CO?,"Davie, FL"
Is Pittsburgh PA closer to Lynchburg VA or Panama City FL?,"Lynchburg, VA"
Is Rochester Hills MI closer to West Bend WI or East Orange NJ?,"West Bend, WI"
Is Erie PA closer to Westland MI or Fishers IN?,"Westland, MI"
Is Boca Raton FL closer to Southaven MS or Mankato MN?,"Southaven, MS"
Is Santa Maria CA closer to Santa Clara CA or Greenwood IN?,"Santa Clara, CA"
Is Bellingham WA closer to Pittsburg CA or Dothan AL?,"Pittsburg, CA"
Is Lansing MI closer to Buffalo NY or Bozeman MT?,"Buffalo, NY"
Is San Francisco CA closer to Gresham OR or Atlantic City NJ?,"Gresham, OR"
Is Grand Island NE closer to Pomona CA or Charlottesville VA?,"Pomona, CA"
Is Longmont CO closer to Bethesda MD or Chattanooga TN?,"Bethesda, MD"
Is Plano TX closer to Metairie LA or Oceanside CA?,"Metairie, LA"
Is Albany OR closer to Champaign IL or Margate FL?,"Champaign, IL"
Is San Angelo TX closer to Pocatello ID or Coeur d'Alene ID?,"Pocatello, ID"
Is Bremerton WA closer to Wilmington DE or Framingham MA?,"Wilmington, DE"
Is Norman OK closer to Portland ME or Savannah GA?,"Portland, ME"
Is Livermore CA closer to Florence AL or Camarillo CA?,"Florence, AL"
Is Chambersburg PA closer to Pembroke Pines FL or Durham NC?,"Pembroke Pines, FL"
Is Edmond OK closer to Brooklyn Park MN or Yuma AZ?,"Brooklyn Park, MN"
Is Boise ID closer to Kirkland WA or Edmond OK?,"Kirkland, WA"
Is Placentia CA closer to Miami FL or Youngstown OH?,"Miami, FL"
Is Portland ME closer to Danbury CT or Santa Cruz CA?,"Danbury, CT"
Is Charlottesville VA closer to Fishers IN or Dundalk MD?,"Fishers, IN"
Is Columbus GA closer to Doral FL or Norwich CT?,"Doral, FL"
Is Garden Grove CA closer to Menifee CA or St. George UT?,"Menifee, CA"
Is Queen Creek AZ closer to Yuba City CA or Wheaton IL?,"Yuba City, CA"
Is Missouri City TX closer to Fort Wayne IN or Altoona PA?,"Fort Wayne, IN"
Is Arcadia CA closer to Sparks NV or Longview WA?,"Sparks, NV"
Is New Brunswick NJ closer to Spring Valley NV or Downey CA?,"Spring Valley, NV"
Is Madison AL closer to Billings MT or Anderson SC?,"Billings, MT"
Is Boynton Beach FL closer to Melbourne FL or Pleasanton CA?,"Melbourne, FL"
Is West Covina CA closer to Wheaton MD or Ankeny IA?,"Wheaton, MD"
Is Marysville WA closer to Kannapolis NC or Duluth MN?,"Kannapolis, NC"
Is Burien WA closer to Trenton NJ or St. Joseph MO?,"Trenton, NJ"
Is El Paso de Robles CA closer to Clarksville TN or Rowland Heights CA?,"Clarksville, TN"
Is Norwalk CA closer to Flint MI or Carolina PR?,"Flint, MI"
Is Somerville MA closer to Bismarck ND or Gilbert AZ?,"Bismarck, ND"
Is Bristol TN closer to Upland CA or Pompano Beach FL?,"Upland, CA"
Is Hesperia CA closer to Albany GA or Kansas City MO?,"Kansas City, MO"
Is Atascocita TX closer to Roseville CA or Houston TX?,"Houston, TX"
Is Renton WA closer to Sumter SC or El Paso de Robles CA?,"El Paso de Robles, CA"
Is Allentown PA closer to El Cajon CA or Kenosha WI?,"Kenosha, WI"
Is Kendall FL closer to San Rafael CA or Pocatello ID?,"San Rafael, CA"
Is Kendale Lakes FL closer to Bellflower CA or Hagerstown MD?,"Bellflower, CA"
Is Plantation FL closer to Anaheim CA or Palm Bay FL?,"Palm Bay, FL"
Is Wenatchee WA closer to Paterson NJ or Thousand Oaks CA?,"Thousand Oaks, CA"
Is Hillsboro OR closer to El Paso de Robles CA or Titusville FL?,"El Paso de Robles, CA"
Is Haverhill MA closer to West Covina CA or Springdale AR?,"West Covina, CA"
Is Saratoga Springs NY closer to Murfreesboro TN or Clearwater FL?,"Clearwater, FL"
Is Baldwin Park CA closer to Texarkana TX or New Bedford MA?,"Texarkana, TX"
Is Apopka FL closer to Kankakee IL or Costa Mesa CA?,"Costa Mesa, CA"
Is Warren MI closer to Leesburg FL or Pearland TX?,"Leesburg, FL"
Is Davie FL closer to Miami Gardens FL or Dearborn Heights MI?,"Miami Gardens, FL"
Is Daphne AL closer to Fremont CA or Galveston TX?,"Galveston, TX"
Is Murfreesboro TN closer to Union City NJ or Pittsfield MA?,"Union City, NJ"
Is Stonecrest GA closer to Tampa FL or Brooklyn NY?,"Tampa, FL"
Is Country Club FL closer to Monroe LA or Wichita Falls TX?,"Monroe, LA"
Is Champaign IL closer to Novato CA or Davie FL?,"Novato, CA"
Is Rialto CA closer to Manhattan NY or Hammond IN?,"Hammond, IN"
Is Peoria IL closer to Port Arthur TX or Buffalo NY?,"Buffalo, NY"
Is Eagan MN closer to Peoria AZ or Billings MT?,"Billings, MT"
Is New York NY closer to Montebello CA or Sunnyvale CA?,"Sunnyvale, CA"
Is Perth Amboy NJ closer to Merced CA or Lawrence KS?,"Merced, CA"
Is Jacksonville FL closer to Nashua NH or Carmel IN?,"Nashua, NH"
Is Milpitas CA closer to Springfield MO or Queens NY?,"Springfield, MO"
Is Highlands Ranch CO closer to Anderson IN or St. Augustine FL?,"St. Augustine, FL"
Is Slidell LA closer to Oceanside CA or Mansfield TX?,"Oceanside, CA"
Is Monessen PA closer to Racine WI or Tamarac FL?,"Racine, WI"
Is Chico CA closer to Normal IL or Hagerstown MD?,"Normal, IL"
Is Bellflower CA closer to Framingham MA or Oakland CA?,"Framingham, MA"
Is Cedar Rapids IA closer to Westland MI or Richardson TX?,"Westland, MI"
Is Sheboygan WI closer to Kendale Lakes FL or Eugene OR?,"Kendale Lakes, FL"
Is Killeen TX closer to Surprise AZ or Waldorf MD?,"Surprise, AZ"
Is Virginia Beach VA closer to Spring TX or Coconut Creek FL?,"Spring, TX"
Is Evansville IN closer to Florence SC or Westminster CO?,"Florence, SC"
Is St. Petersburg FL closer to Delray Beach FL or Orem UT?,"Delray Beach, FL"
Is Florence-Graham CA closer to Lancaster CA or Aurora CO?,"Lancaster, CA"
Is Dublin CA closer to Dubuque IA or Durham NC?,"Dubuque, IA"
Is Kannapolis NC closer to Wausau WI or Cartersville GA?,"Wausau, WI"
Is West Valley City UT closer to Kent WA or Fountain Valley CA?,"Kent, WA"
Is Temple TX closer to Grand Island NE or Glendale AZ?,"Temple, TX"
Is Columbus GA closer to Beloit WI or Springfield MA?,"Beloit, WI"
Is Corona CA closer to Elizabeth NJ or Hickory NC?,"Elizabeth, NJ"
Is Concord CA closer to Jacksonville NC or Albuquerque NM?,"Jacksonville, NC"
Is Florence AL closer to Southaven MS or Alhambra CA?,"Southaven, MS"
Is Chula Vista CA closer to Knoxville TN or Detroit MI?,"Knoxville, TN"
Is Caldwell ID closer to Honolulu HI or Silver Spring MD?,"Silver Spring, MD"
Is Levittown NY closer to Glendora CA or Albany NY?,"Glendora, CA"
Is East Stroudsburg PA closer to West Haven CT or Williamsburg VA?,"West Haven, CT"
Is Burlington VT closer to Midland TX or Santee CA?,"Midland, TX"
Is Sherman TX closer to Concord NC or Apex NC?,"Concord, NC"
Is Pueblo CO closer to Boca Raton FL or Sarasota FL?,"Boca Raton, FL"
Is Wilmington DE closer to Cheyenne WY or Brentwood CA?,"Cheyenne, WY"
Is Livermore CA closer to O'Fallon MO or Rowlett TX?,"O'Fallon, MO"
Is Chicopee MA closer to Mandeville LA or Torrance CA?,"Mandeville, LA"
Is Baldwin Park CA closer to Visalia CA or Muskegon MI?,"Visalia, CA"
Is Beloit WI closer to Brandon FL or Parma OH?,"Brandon, FL"
Is Wheaton IL closer to Shreveport LA or Warwick RI?,"Shreveport, LA"
Is Apple Valley CA closer to Aliso Viejo CA or DeKalb IL?,"Aliso Viejo, CA"
Is Blaine MN closer to White Plains NY or Placentia CA?,"White Plains, NY"
Is Rochester MN closer to Parma OH or Cartersville GA?,"Parma, OH"
Is Richmond VA closer to Rialto CA or Peoria IL?,"Peoria, IL"
Is Savannah GA closer to Jupiter FL or Pleasanton CA?,"Jupiter, FL"
Is Greenville NC closer to Burlington VT or Elizabeth NJ?,"Burlington, VT"
Is Carmichael CA closer to Redondo Beach CA or Mission TX?,"Redondo Beach, CA"
Is Delano CA closer to Youngstown OH or Spokane Valley WA?,"Youngstown, OH"
Is Titusville FL closer to Carmel IN or South Bend IN?,"Carmel, IN"
Is Jurupa Valley CA closer to Lake Jackson TX or Ontario CA?,"Lake Jackson, TX"
Is Albany GA closer to Cleveland OH or Los Lunas NM?,"Cleveland, OH"
Is Pocatello ID closer to Fredericksburg VA or Bellingham WA?,"Bellingham, WA"
Is Napa CA closer to Warwick RI or Indio CA?,"Warwick, RI"
Is Fargo ND closer to Brunswick GA or Chicopee MA?,"Brunswick, GA"
Is Milpitas CA closer to West Haven CT or Sandy Springs GA?,"West Haven, CT"
Is Port Arthur TX closer to West Covina CA or Kannapolis NC?,"West Covina, CA"
Is Binghamton NY closer to Waukegan IL or Wellington FL?,"Waukegan, IL"
Is Minnetonka MN closer to Des Moines IA or Charlotte NC?,"Des Moines, IA"
Is Lansing MI closer to Ontario CA or Greeley CO?,"Ontario, CA"
Is Pine Hills FL closer to Arcadia CA or Plainfield NJ?,"Arcadia, CA"
Is Weston FL closer to Collierville TN or Peoria AZ?,"Collierville, TN"
Is Diamond Bar CA closer to Davis CA or Texas City TX?,"Davis, CA"
Is Cupertino CA closer to Helena MT or North Miami FL?,"Helena, MT"
Is St. Clair Shores MI closer to Lauderhill FL or Burnsville MN?,"Lauderhill, FL"
Is Catalina Foothills AZ closer to Kendale Lakes FL or Glens Falls NY?,"Kendale Lakes, FL"
Is Aurora CO closer to Atlanta GA or Coon Rapids MN?,"Atlanta, GA"
Is Pittsburgh PA closer to Waldorf MD or Collierville TN?,"Waldorf, MD"
Is Stonecrest GA closer to Vista CA or South Hill WA?,"Vista, CA"
Is Arlington VA closer to Kenosha WI or Carson City NV?,"Kenosha, WI"
Is Levittown NY closer to Las Cruces NM or South San Francisco CA?,"Las Cruces, NM"
Is Bellingham WA closer to Mount Vernon WA or Carmichael CA?,"Mount Vernon, WA"
Is Redding CA closer to Wyoming MI or DeKalb IL?,"Wyoming, MI"
Is Alexandria VA closer to San Tan Valley AZ or Redmond WA?,"San Tan Valley, AZ"
Is Spring TX closer to Walla Walla WA or South Lyon MI?,"Walla Walla, WA"
Is Orland Park IL closer to Murrieta CA or The Villages FL?,"Murrieta, CA"
Is Plainfield NJ closer to High Point NC or Pflugerville TX?,"High Point, NC"
Is Monterey Park CA closer to Mishawaka IN or Dayton OH?,"Mishawaka, IN"
Is Waldorf MD closer to Buena Park CA or Meridian ID?,"Buena Park, CA"
Is Stonecrest GA closer to Pharr TX or St. Paul MN?,"Pharr, TX"
